song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,http://www.wikidata.org/entity/Q1027904,Grammy Award for Song of the Year,2013,,,
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,http://www.wikidata.org/entity/Q6314105,Juno Award for Songwriter of the Year,2014,,,
http://www.wikidata.org/entity/Q14559271,Roar,2013-08-10T00:00:00Z,Katy Perry,http://www.wikidata.org/entity/Q16991776,Billboard Music Award for Digital Song of the Year,2014,,,
http://www.wikidata.org/entity/Q15087926,Stay the Night,2013-09-10T00:00:00Z,Zedd,,,,http://www.wikidata.org/entity/Q223703,MTV Video Music Award,
http://www.wikidata.org/entity/Q14927695,Dark Horse,2013-09-17T00:00:00Z,Katy Perry,http://www.wikidata.org/entity/Q31155,MTV Europe Music Award for Best Song,,,,
http://www.wikidata.org/entity/Q14927695,Dark Horse,2013-09-17T00:00:00Z,Juicy J,http://www.wikidata.org/entity/Q31155,MTV Europe Music Award for Best Song,,,,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,Jeezy,http://www.wikidata.org/entity/Q4835467,BET Award for Best Collaboration,,,,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,YG,http://www.wikidata.org/entity/Q4835467,BET Award for Best Collaboration,,,,
http://www.wikidata.org/entity/Q17060734,My Nigga,2013-09-17T00:00:00Z,Rich Homie Quan,http://www.wikidata.org/entity/Q4835467,BET Award for Best Collaboration,,,,
http://www.wikidata.org/entity/Q15114662,The Monster,2013-10-01T00:00:00Z,Eminem,,,,http://www.wikidata.org/entity/Q1542172,Grammy Award for Best Melodic Rap Performance,
http://www.wikidata.org/entity/Q15114662,The Monster,2013-10-01T00:00:00Z,Rihanna,,,,http://www.wikidata.org/entity/Q1542172,Grammy Award for Best Melodic Rap Performance,
http://www.wikidata.org/entity/Q15054054,Timber,2013-10-07T00:00:00Z,Kesha,http://www.wikidata.org/entity/Q6314105,Juno Award for Songwriter of the Year,,,,
http://www.wikidata.org/entity/Q15054054,Timber,2013-10-07T00:00:00Z,Pitbull,http://www.wikidata.org/entity/Q6314105,Juno Award for Songwriter of the Year,,,,
http://www.wikidata.org/entity/Q15131296,Erilaiset,2013-10-16T00:00:00Z,Robin Packalen,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,http://www.wikidata.org/entity/Q31155,MTV Europe Music Award for Best Song,2014,,,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,http://www.wikidata.org/entity/Q904344,Broadcast Film Critics Association Award for Best Song,2013,,,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,http://www.wikidata.org/entity/Q919999,Satellite Award for Best Original Song,2013,,,
http://www.wikidata.org/entity/Q15275920,Happy,2013-11-21T00:00:00Z,Pharrell Williams,http://www.wikidata.org/entity/Q4835477,BET Award for Viewer's Choice,2014,,,
http://www.wikidata.org/entity/Q15784282,Atemlos durch die Nacht,2013-11-29T00:00:00Z,Helene Fischer,,,,http://www.wikidata.org/entity/Q15806987,ECHO Pop,
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,,,,http://www.wikidata.org/entity/Q1472235,Golden Globe Award for Best Original Song,
http://www.wikidata.org/entity/Q15256297,Ordinary Love,2013-11-29T00:00:00Z,U2,http://www.wikidata.org/entity/Q904344,Broadcast Film Critics Association Award for Best Song,,,,
