index,title,title_url,written_by,written_by_url,originally_by,originally_by_url,covers,adaptations
2422,Girls Chase Boys,https://secondhandsongs.com/work/190005,"Ingrid Michaelson, Barry Dean, Trent Dabbs","https://secondhandsongs.com/artist/46180, https://secondhandsongs.com/artist/82729, https://secondhandsongs.com/artist/84135",Ingrid Michaelson,https://secondhandsongs.com/artist/46180,2,0
2423,SoulMate,https://secondhandsongs.com/work/204516,"Justin Timberlake, Brian Casey, Brandon Casey, James Fauntleroy, Nineteen85, Lechas Young, D10, Gary Gizzo Smith","https://secondhandsongs.com/artist/12784, https://secondhandsongs.com/artist/44341, https://secondhandsongs.com/artist/44342, https://secondhandsongs.com/artist/58054, https://secondhandsongs.com/artist/74155, https://secondhandsongs.com/artist/144980, https://secondhandsongs.com/artist/144981, https://secondhandsongs.com/artist/192279",Justin Timberlake,https://secondhandsongs.com/artist/12784,2,0
2424,Mercy,https://secondhandsongs.com/work/204517,"Brett Young, Sean McConnell","https://secondhandsongs.com/artist/113010, https://secondhandsongs.com/artist/144982",Brett Young,https://secondhandsongs.com/artist/113010,2,0
2425,Missing U,https://secondhandsongs.com/work/204541,"Robyn, Joseph Mount, Klas Åhlund","https://secondhandsongs.com/artist/32966, https://secondhandsongs.com/artist/67127, https://secondhandsongs.com/artist/71188",Robyn,https://secondhandsongs.com/artist/32966,2,0
2426,Yours,https://secondhandsongs.com/work/204631,"Ella Henderson, Josh Record","https://secondhandsongs.com/artist/84579, https://secondhandsongs.com/artist/86987",Ella Henderson,https://secondhandsongs.com/artist/84579,2,0
2427,Goodbye,https://secondhandsongs.com/work/204739,"David Guetta, Jason Derülo, Nicki Minaj, Kinnda, Willy William, JVZEL, Jeffrey Accime, DJ Paulito, Art Beatz, Curtis Gray, Phil Greiss, Jean Michel Sissoko, David St Fleur","https://secondhandsongs.com/artist/17309, https://secondhandsongs.com/artist/47217, https://secondhandsongs.com/artist/47525, https://secondhandsongs.com/artist/117141, https://secondhandsongs.com/artist/138054, https://secondhandsongs.com/artist/142300, https://secondhandsongs.com/artist/145169, https://secondhandsongs.com/artist/145170, https://secondhandsongs.com/artist/145171, https://secondhandsongs.com/artist/145172, https://secondhandsongs.com/artist/145173, https://secondhandsongs.com/artist/145175, https://secondhandsongs.com/artist/145176",Jason Derulo x David Guetta feat. Nicki Minaj and Willy William,https://secondhandsongs.com/artist/17309+47217+47525+138054,2,0
2428,Watch,https://secondhandsongs.com/work/205022,Finneas O'Connell,https://secondhandsongs.com/artist/144984,Billie Eilish,https://secondhandsongs.com/artist/144983,2,0
2429,Supersoaker,https://secondhandsongs.com/work/210607,"Caleb Followill, Nathan Followill, Jared Followill, Matthew Followill","https://secondhandsongs.com/artist/39519, https://secondhandsongs.com/artist/39520, https://secondhandsongs.com/artist/39521, https://secondhandsongs.com/artist/39522",Kings of Leon,https://secondhandsongs.com/artist/39518,2,0
2430,Waste a Moment,https://secondhandsongs.com/work/210672,"Caleb Followill, Nathan Followill, Jared Followill, Matthew Followill","https://secondhandsongs.com/artist/39519, https://secondhandsongs.com/artist/39520, https://secondhandsongs.com/artist/39521, https://secondhandsongs.com/artist/39522",Kings of Leon,https://secondhandsongs.com/artist/39518,2,0
2431,Black Sun,https://secondhandsongs.com/work/210673,Ben Gibbard,https://secondhandsongs.com/artist/23698,Death Cab for Cutie,https://secondhandsongs.com/artist/14042,2,0
2432,Fever,https://secondhandsongs.com/work/210727,"Danger Mouse, Dan Auerbach, Patrick Carney","https://secondhandsongs.com/artist/16216, https://secondhandsongs.com/artist/53755, https://secondhandsongs.com/artist/53756",The Black Keys,https://secondhandsongs.com/artist/7129,2,0
2433,I Dare You,https://secondhandsongs.com/work/210756,"Romy, Oliver Sim, Jamie xx","https://secondhandsongs.com/artist/46783, https://secondhandsongs.com/artist/46785, https://secondhandsongs.com/artist/118632",The xx,https://secondhandsongs.com/artist/43709,2,0
